lng,lat
-47.4,-23.7
11.571,48.1345
-17.4381,14.6708
-66,8
12.0409,49.2061
127.1522,36.8065
32.7518,37.7386
9.0,51.0
-43.9333,-19.9167
-8.6413,41.0076
10.9034,48.3664
23.7333,37.9833
-100.3,25.75
-70.6667,-33.45
-81.2265,37.7848
-6.3498,32.3373
-84.0833,9.9333
-1.0009,50.9222
-0.13,51.5
-99.13,19.43
-47.4028,-22.5617
11.4459,48.776
20,41
-95.367,29.752299999999998
-71.2558,42.5493
43.5,42
115.0667,-6.175
90.375,23.7
-122.7278,37.7848
24.0,-33.9258
-66.9167,10.5
-8.611,41.1496
73.5,4.1667
-42.6,-17.25
35.9333,31.95
6.6147,36.365
-112.3178,33.4442
-95.8302,29.8176
-96.7376,32.9722
9.0,51.0
-100.4,25.6667
-106.0833,28.6333
3,35.6911
51.4231,48.86
3,28
-97.822,37.751
9.0,51.5
8.0,6.4531
10.637,35.8254
7.0128,43.5513
23.7333,40.6403
51.4231,48.8667
-46.6361,-23.5475
10,53.55
-43.2333,-22.9
11.4643,48.1853
-84.388,33.9562
-84.1165,10.0024
3,36.1647
-46.6361,-23.5475
-122.7278,37.7848
11.5552,48.1427
35.2958,32.4564
11.5833,48.15
-46.6358,-23.5477
4.9,52.3667
23.7167,37.9667
23.7333,37.9833
34.7667,32.0667
-73.9182,40.7035
11.571,48.1345
-57.6111,-25.2939
-73.8726,40.6695
-122.4089,37.7915
-97.7431,30.384
-34.9,-8.05
-7.6192,33.5928
19.0833,47.5
21.4314,41.9965
8.0,47.0
9,36.8061
-74.0758,4.5981
-49.25,-25.4167
1.3347,36.1647
26.5547,39.11
-47.0833,-22.9
-72.5357,46.3877
-84.3005,40.7035
31.3666,30.05
-84.0833,9.9333
-74.0628,4.6492
-49.25,-25.4167
-2,8
-35.4833,-6.1167
-34.9,-8.05
-40.7,-4.3333
-48.2778,-10.2228
23.7333,37.9833
-36.2,-8.2833
76.6514,10.7725
-82.9761,35.4499
31.2859,30.0771
24,56
-122.4625,37.7811
-43.2333,-22.9
6.7767,51.2157
11.6802,48.1404
-122.7278,37.7848
76.9285,51.1811
-73.1198,7.1254
12.2,49.0167
9.0,51.0
11.571,48.1345
7.1,50.7333
-74.6231,40.959
-89.2929,41.7606
16.3667,48.2
9.0,51.0
7.3167,52.5167
9,51
7.6849,51.5485
9.6833,50.5569
3,28
6.6333,49.75
12.6333,48.0833
18.6333,-33.9258
7.1307,51.2649
36.2478,41.0136
9.0,51.7667
12.0577,49.0153
8.4162,49.4603
8.2446,47.0567
9,51
8.85,52.1833
30.5167,50.4333
11.5167,47.2833
9.9206,49.7899
9,51
8.0521,52.2832
10.895,48.3509
7.6667,50.55
7.1572,51.4658
9,53.55
11.5833,48.15
1.2578,45.8315
8.0096,52.2651
12.5098,55.730199999999996
9,51
8.6734,48.4889
-46.5262,-23.5333
11.414,48.161
11.6686,48.0624
13.4,52.5167
11.7333,48.4
9.3758,45.7833
7.05,49.3667
35.2,31.9
9.9319,53.55
72.8258,18.975
72.8258,18.975
-92.46,42.3701
8.0,51.5
-34.9,-8.05
9,34
2.8289,36.4686
35.2,31.9
2.4167,48.9833
-9.1333,38.7167
2.35,48.86
-96.9167,19.5333
-97.822,37.751
-78.5,-0.2167
35.2544,32.2211
3,28
-75.5636,6.2518
9.1776,51.0
21.7344,38.2444
-75.7329,45.4023
-74.0078,40.733
-99.1386,25.6667
9.0,51.0
-99.1386,25.6833
9,51
2.1213,49.0435
14.5144,46.0553
-46.6361,-23.5475
-46.6361,-23.5475
11.6317,48.1345
-38.95,-12.25
-47.9167,-15.7833
-48.6333,-26.9833
-0.3667,51.5333
8.1159,53.2574
-51.1785,-29.1689
-66,8
31.3807,31.0364
11.5306,48.1125
35.2,31.9
-17.4381,14.6708
-17.4381,14.6708
-97.822,37.751
-77.05,-16.3989
-118.0194,33.9709
13.7667,51.5
-73.1167,-36.8333
-0.2167,5.55
12.2,48.9167
-46.6361,-23.5475
18.3833,44.2017
13.4,52.5167
13.4,52.5167
-97.822,37.751
-77.0283,-12.0433
-4.9998000000000005,34.0372
11.2167,47.65
8.7201,48.5417
9.0,51.0
22.9439,40.6403
8.7,50.5167
57.5203,-20.3147
77.2167,28.6667
-5.0,8.0
20.4681,44.8186
45.3341,2.0462
121.0509,14.6488
11.0297,50.2585
-0.2167,5.55
-97.822,37.751
5.6333,50.5833
5.6333,50.5833
-43.9333,-19.9167
9.1833,51.7571
15.6833,-17.7833
-97.2787,37.7068
-8.5581,41.1826
7.7884,51.8559
9.4848,53.5908
-1.0746,44.4832
6.8475,47.4437
85.3167,27.7167
24.4019,41.1544
-47.9167,-15.7833
11.571,48.1345
74.3686,31.4888
74.3686,31.4888
17.904,44.2017
5.9815000000000005,50.8837
9.0,51.0
-43.4047,-22.762
11.5833,48.15
-97.822,37.751
-87.9056,44.5241
34.7667,32.0667
9.4167,53.9333
-61.4,10.6333
-1.4974,53.5462
-84.0833,9.9333
-122.3429,48.3404
106.8294,1.2931
9.0,51.0
9.0,51.0
9.1833,48.7667
-9.1394,38.7139
9.0,51.0
31.2859,30.0771
24.9375,60.1708
4.9,52.3667
12.5833,55.6761
-0.6342,35.6511
-92.5279,44.0715
-46.6358,-23.5477
11.5833,48.15
17.0333,51.1
29.9553,31.2156
-46.6358,-23.5477
-79.4829,43.8001
-49.2667,-2.5167
144.9634,-37.8139
9.0,51.0
-77.4755,38.9881
-122.4449,37.7691
-46.6361,-23.5475
-51.2,-30.0333
-6.2597,53.3478
-97.822,37.751
23.7333,37.9833
-21.8973,64.1114
-121.9245,37.2555
9.0,51.0
6.7767,51.2157
-87.7016,41.9759
9.0,51.0
-70.6667,-33.45
8.6833,50.1167
13.4,52.5167
9.0,51.0
9.0,51.0
11.4917,48.1188
9.0,51.0
6.75,51.4333
13.4874,52.5128
12.2715,53.55
90.4086,23.7231
9.9635,48.4171
6.6063,51.8208
9.1833,48.7667
9.0,51.0
-56.1708,-34.8581
9.2167,50.1667
11.5847,50.893299999999996
13.6729,51.0707
61.4297,55.1544
6.95,50.9333
8.8976,52.2946
7.0416,50.8998
13.3862,52.4815
9.0,51.0
9.0,51.0
11.0671,49.4639
9.0,51.0
11.05,49.6
8.2119,49.9383
10.0,53.55
11.5833,48.15
6.941,50.9325
-46.3833,-23.9667
13.4,52.5167
8.599,49.1203
10.0,53.55
-49.2667,-16.6667
11.414,48.161
11.9,51.3
9.0,51.0
7.7503,49.436
-77.0283,-12.0433
8.8383,53.0483
8.2211,51.9659
9.0,51.0
10.0,53.55
10.1333,54.3333
30.5167,50.4333
30.5167,50.4333
8.4647,49.4883
30.5167,50.4333
30.5233,50.45
30.5167,50.4333
12.0,51.5
11.0782,49.4636
12.3077,51.312
9.395,52.0988
8.0885,51.5602
9.1746,48.8901
9.977,49.8044
11.6366,48.1408
7.2183,51.6017
9.0,51.0
9.2167,50.1667
9.0,51.0
9.0,51.0
9.2983,49.2244
-66.0,8.0
9.0,51.0
6.9734,51.449
8.4776,49.0019
6.8917,51.1
13.4,52.5167
11.6,48.0333
13.2167,52.3833
9.0,51.0
9.0,51.0
9.0,51.0
9.0,51.0
9.0,51.0
9.227,48.837
7.0167,51.45
8.5406,49.19
9.0,51.0
12.3833,51.3667
9.0,51.0
10.6667,54.0333
11.5668,48.1452
8.7276,50.3763
9.1217,51.99
9.0,51.0
13.0333,50.9167
8.4043,48.9661
8.0613,52.244
77.2,28.6
7.1068,50.7231
13.75,51.05
9.0,51.0
6.2877,50.74
13.4,52.5167
13.4,52.5167
6.9571,50.9525
8.5128,52.7139
8.6833,50.1167
9.5853,52.8592
9.0,51.0
10.3,52.2
15.6231,46.4918
9.0,51.0
8.6833,50.1167
2.35,48.86
9.0,51.0
9.0,51.0
11.0637,50.9751
11.0782,49.446
11.0809,49.4478
7.2167,51.55
9.7518,48.6779
7.5241,51.606700000000004
9.0,51.0
10.6919,49.9962
9.0,51.0
8.0725,52.2667
9.0,51.0
10.9929,51.0143
11.0333,50.9833
9.0,51.0
9.0,51.5161
9.7167,52.3667
9.0,51.0
9.0,51.0
9.0,51.0
6.7808,51.2561
10.3,48.9833
7.05,49.3667
6.3089,51.0784
12.1232,47.8748
11.0948,49.443
8.8413,47.7583
-47.95,-23.5477
9.0,51.0
8.6833,50.1167
16.3667,48.2
14.0333,51.7833
8.6446,49.8875
13.6729,51.0707
13.4,52.5167
9.0,51.0
8.4199,49.0078
7.0352,51.4353
9.09,49.981700000000004
9.0,51.0
13.9667,51.8
9.0,51.0
6.9472000000000005,51.559
8.6775,49.9916
9.4667,53.55
11.3278,48.2078
11.5833,48.15
9.0,51.0
9.0,51.0
10.854800000000001,48.3815
7.3357,49.3248
9.9635,48.4171
13.4,52.5167
10.8761,48.3643
7.6333,51.9667
13.3833,51.1
9.0,51.0
8.6764,49.4169
10.0467,53.576
9.7953,48.6361
8.0987,49.194
13.4,52.5667
8.6799,50.1157
9.7817,52.1579
9.0,51.0
8.79,53.0618
9.0,51.0
9.0,51.0
8.4279,49.3228
7.0841,51.5592
9.0,52.2887
10.7028,53.9667
7.202,51.2298
9.0,51.0
9.0,51.0
9.0,51.0
9.0,51.0
12.1026,47.8391
9.0,51.0
9.0,51.0
9.0,51.0
9.0,51.0
9.0,51.0
7.1833,51.2667
9.0,51.0
10.9444,49.4954
7.8259,51.4187
11.5449,48.1224
9,51
9.0,51.0
9.0,51.0
8.4939,49.4996
9.0,51.0
8.6868,49.4062
10.1833,48.8833
9.0,51.0
9.0,51.0
7.65,49.4667
8.15,48.7
9.0,51.0
12.0,6.0
9.0,51.0
6.9604,51.1102
9.0,51.0
10.0074,52.4553
6.1085,50.7787
12.0409,49.2061
9.0009,47.8597
6.9571,50.9525
9.0,51.0
8.1337,50.1377
77.5833,12.9833
9.0,51.0
13.4122,48.5693
13.4,52.5167
9.0,51.0
7.1572,51.4658
9.9795,54.4045
10.0467,53.576
8.6833,50.1167
9.5333,48.6167
13.4,52.5167
31.3666,30.05
9.0,51.0
10.0,53.55
6.7553,51.4216
7.9,49.9
9.0,51.0
11.5964,48.1725
9.0,51.0
-73.759,42.747
6.9967,51.4273
9.0,53.55
8.4586,49.6917
9.0,51.0
7.5725,51.9176
9.0,51.0
-5,32
6.7334,51.4784
9.0,51.0
8.3497,49.8372
9.4912,51.3166
9.0,51.4271
9.0,51.0
11.4687,47.8695
7.202,51.2298
9.1101,51.4034
13.4,52.5167
9.0,51.0
7.0352,51.4353
8.85,49.5667
9.6833,53.5333
9.9662,53.5512
3.0,28.0
9.0,51.0
11.5341,48.1388
13.4,52.5167
8.7773,50.8098
9.0,51.0
12.6245,48.8448
6.4982,50.8086
72.55,33.1479
9.0,51.0
9.0,55.008
9.0,51.0
9.0,51.0
9.6603,52.414
11.5668,48.1452
8.6833,50.1167
9.0,51.0
9.0,51.0
7.1167,49.2833
9.8288,52.339
11.0974,49.4586
6.4387,51.1958
9.0,51.0
31.3666,30.05
8.0167,50.6667
6.5899,51.304
9.0,51.0
6.076,50.768299999999996
7.0161,51.434
12.0667,48.3
9.9946,53.7099
9.5,47.8
8.0613,52.244
11.6205,48.1223
-74.0758,4.5981
9.0,52.05
9.0,51.0
7.1771,52.2162
-49.25,-25.4167
7.0409,52.2012
-77.05,-12.05
9.0,51.0
13.4487,52.5056
10.85,52.1333
11.0809,49.4403
8.7814,53.1094
11.0948,49.443
6.7744,51.4294
8.7463,53.0854
11.0809,49.4403
7.0167,51.45
7.0575,51.5221
80.2833,13.0833
9.0,51.0
7.6167,51.5044
9.0,51.0
9.0,51.0
9.0,51.0
8.164,52.1386
9.0,51.0
6.85,49.2
6.2746,50.8924
9.0,51.0
11.1359,48.4553
8.6025,49.8057
9.0,51.9268
9.0,51.6017
12.7055,50.592
10.0081,51.9567
7.5241,51.606700000000004
8,10
9.0,51.0
8.3719,48.9907
11.5284,48.1725
103.8,1.3667
9.0,51.0
13.4,52.5167
9.0,51.0
6.9786,50.8207
11.7667,48.6
-0.13,51.5
9.4167,54.6
11.0809,49.4403
9.0,51.0
9.0,51.0
8.45,48.0667
8.3979,49.0083
9.0,51.0
8.2688,50.001
10.0266,53.5843
8.6833,50.1167
10.0,53.55
8.3425,49.9858
12.8333,53.2
11.3667,51.3
9.013,48.7895
9.0,51.0
9.0,51.0
12.1917,51.8221
-99.13,19.43
12.8137,48.158
9.0,51.0
13.4,52.5167
9.1649,47.6744
31.3666,30.05
9.0,52.5167
105.85,21.0333
9.0,51.0
105.85,21.0333
9.0,51.951
10.7194,50.9398
11.6011,52.1104
8,10
9.0,51.0
9.9976,54.8092
11.350999999999999,48.169
8.997,49.6489
8.0401,50.4039
8.4403,49.3953
9.0369,49.045
11.2167,51.6
8.5893,50.1973
8.6846,49.3517
7.4775,53.4719
8.6559,49.5481
7.1895,53.5961
9.0,53.5299
9.5333,50.5833
8.4647,49.4883
8.65,50.5833
6.9517,51.4698
9.7234,53.5837
6.9543,50.9383
31.3666,31.2156
9.0,51.0
9.0,51.0
6.5899,51.304
9.7833,48.65
7.2674,49.36
10.0342,53.575
9.5853,52.8592
9.0,51.0
9.7743,52.3398
9.6592,53.7491
7.4901,51.3987
11.3755,48.1908
10.9133,48.3505
11.5833,48.15
9.0,51.0
8.6833,50.1167
8.6284,49.6867
6.1481,50.7167
7.5452,50.4369
38.9769,45.0328
10.0,53.55
7.2948,51.8433
-2.4628,48.6319
6.7465,51.5774
9.0,51.0
9.0,51.0
10.9971,49.4706
9.0,51.3201
7.4,49.5667
46.0333,51.5667
9.0,51.0
9.0,51.0
9.0,51.0
39.5689,52.6186
6.6393,49.7537
13.4,52.5167
11.4643,48.1853
9.7939,52.4026
10.6,49.5833
11.5204,48.0988
9.0,51.0
9.0,51.0
9.0,51.0
6.9571,50.9525
9.0,51.0
12.3833,51.3667
9.9128,53.7293
9.0,51.0
9.0,51.0
11.5552,48.1427
6.8485,51.2922
7.8479,48.1188
8.2167,47.6167
9.2079,52.4508
9.0,51.0
8.3979,49.0083
9.0,51.0
13.4,52.5167
12.568,52.4043
12.3077,51.312
9.0,51.0
9.0,51.0
9.0,51.0
10.1,48.8333
9.0,51.0
8.698,50.1193
11.5333,48.7667
9.0,51.0
8.8398,50.1343
12.3599,51.3775
11.0809,49.4403
7.0167,51.45
13.4269,52.4873
9.0,51.0
10.5667,48.1
11.7459,51.7897
9.0,51.0
9.0,51.0
7.0785,51.1878
8.745,50.1528
9.0,51.0
-122.211,37.4914
13.424,52.539
105.85,21.0333
7.2948,51.8433
9.0,51.0
13.4,52.5167
6.7957,51.4216
-99.13,19.43
9.0,51.0
9.9555,52.1531
-46.6358,-23.5477
13.4,52.5167
6.8167,49.7167
7.0841,51.5592
9.033,53.0112
9.0,51.0
9.0,51.0
6.1786,35.5553
9.0,51.0
-46.7833,-23.5667
-73.9662,40.6225
-97,38
-122.4156,37.7484
-46.6358,-8.05
-79.2064,37.344
-46.6358,-23.5477
-80.3515,37.1791
-72.1342,43.7226
-117.9668,34.0964
-73.8346,40.9083
51.1537,52.35
-74.118,40.6332
-99.6532,19.43
-8.3649,41.1826
-84.388,33.7708
-97,38
37.6156,55.7522
-121.851,37.3502
-1.8787,47.2911
7.0381,51.447
31.3666,30.05
4.4333,50.9167
2.1444,50.4824
-8.4833,54.2667
-46.6358,-23.5477
31.3666,30.05
35.2,31.9
-121.9599,37.5079
30.5233,50.45
30.5233,50.45
30.5233,50.45
28.9647,41.0186
-122.4128,37.7758
-46.6358,-23.5477
9,51
7.7333,51.0307
13.2332,-8.8368
7.107,50.7207
-46.6358,-23.5477
23.7333,37.9833
23.7333,38.325
-74.0758,4.5981
9.1752,47.6613
-94.6248,39.1185
9.85,50.8167
9,51
12.3833,51.3667
9,51
4.9,52.3667
11.131,50.218
9,51
13.6499,51.45
9,51
9.45,53.55
9.45,53.4667
12,51.5
9.7475,52.3943
-99.1386,21.0422
-70.2382,43.5932
-97,41.9373
-118.3278,34.0887
2.3139,48.8162
-115.4683,32.6519
-78.5,-0.2167
-73.9865,40.749
-75.3486,40.0369
-88.1168,44.5709
-119.5065,36.483
106.8286,-6.175
-46.6358,-23.5477
11.0809,49.4403
-96.8067,37.7848
9.0,51.0
5.7833,53.2
-97.822,37.751
7.0124,49.229
44.7908,42
2.35,48.86
-121.8058,38.0049
-73.5573,45.5061
9,51
79.8478,6.9319
9,51.62
9.2044,51.444
121.525,25.0392
-84.2869,33.811
17.2363,48.0978
15.2675,46.2361
35.25,32
2.35,48.86
11.5668,48.1452
-121.5567,37.0692
-111.9171,33.4357
11.4635,48.1475
-88.1833,17.4833
-40.2833,-20.3333
17.0,32.8925
10,53.55
-72.335,18.5392
23.7333,37.9833
-121.895,37.3394
31.3666,30.05
10,53.55
-2,8
9,51
-5,32
11.5668,48.1452
23.7167,40.6403
-46.6358,-23.5477
-34.8631,-7.115
-58.3816,-34.6033
-122.7278,37.8309
144.9633,-6.2349
9,51
23.7333,37.9833
-46.6361,-23.5475
-66,8
-46.6358,-23.95
-46.6658,-23.4733
-46.6358,-23.5477
3,28
-82.9988,39.9612
-58.3817,-34.6033
31.3666,30.05
39.2647,-15.1197
-46.8833,-23.5167
-9.5932,30.4207
-76.6803,39.2434
31.3666,30.05
-6.8443000000000005,34.0138
9,34
105.85,21.0333
-73.6297,45.5063
44.0089,36.19
49.8822,40.3953
9,34
3,28
43.5,42
-46.6358,-23.5477
-46.6358,-23.5477
20.4942,53.7799
44,33
-5,32
2.3417,48.8592
3,28
31.3666,30.0771
-66,8
35.25,32
31.3666,30.05
3,28
31.3666,30.05
9,34
9,34
-74.7964,10.9639
-43.2333,-22.9
25,46
31.3666,30.05
-73.8986,40.6391
-117.0535,32.711
-46.6358,-23.5477
-0.0941,51.5144
15.5,45.1667
3,28
-6.8443000000000005,34.0138
19.0833,47.5
9.3333,53.3167
9,51
-46.6358,-23.5477
31.3666,30.05
9,51
-78.8189,42.9082
-79.3872,43.6425
-83.371,42.656
11.5899,48.1102
-46.5167,-23.6667
-51.9167,-23.4167
-122.4809,48.7395
9,51
16.3667,48.2
-113.4145,53.4593
36.2527,49.9808
-79.4035,43.6736
-49.25,-25.4167
-97.0,38.0
7.0785,51.4614
14.4167,50.0833
-74.1525,40.5958
-122.7278,37.8309
-121.7053,37.1894
-97.822,37.751
-46.6658,-23.4733
-77.1922,38.864
11.5449,48.1224
-88.2104,41.8969
-99.13,19.43
-97,38
11.5317,48.0483
12.152,48.2707
-118.2413,34.0453
9.45,53.4667
8.8036,53.576
8.8036,53.55
9.45,53.6057
-86.6781,36.0371
25.1306,48.15
-122.7278,37.7848
-73.7038,40.6766
-4.143,50.3715
-35.2167,-5.7833
-9.1394,40.1667
77.2167,44.4333
-122.2687,37.555
-84.4236,35.7509
31.2859,30.0771
-121.99,37.2276
-94.9802,29.8031
-47.2833,-22.8
-122.4128,37.7898
3.0012,50.5947
10.8285,52.3808
78.4744,17.3753
-80.8983,37.9876
-80.2444,26.0206
2.4937,48.8164
-46.6361,-23.5475
18.0686,59.3294
-58.3817,-34.6033
-47.0167,-23.5477
-122.7278,37.7848
-48.8333,-26.3
-90.172,32.3134
9.0,52.5167
-79.3834,35.1752
21.0167,52.2333
2.2577,50.7483
-2,8
-46.6358,-23.5477
9,51
9.0,51.0
126.9783,37.5985
11.0974,49.4639
-89.2031,13.7086
-5,32
-79.5323,43.9251
-84.2869,33.811
-7.6192,33.5928
11.5732,48.1299
-75.0884,39.9524
-122.4128,37.7758
-122.7278,38.0049
-117.644,33.6051
-77.4838,39.0335
-91.4667,22.4401
-82.9988,39.9612
-98.3987,29.4889
-97.0,38.0
-84.1165,9.9333
-88.2909,41.9352
-71.25,48.4167
-9.3,53.85
35.2,38
37.6166,55.75
9,51
-74.0703,40.3039
30.5233,50.45
116.3883,39.9289
9.9333,51.5333
-122.143,37.4419
-97.5392,32.2847
18.0686,59.3294
-1.0667,44.6333
-122.2536,37.8668
-51.2,-30.0333
-122.7278,37.7848
-1.4493,55.0165
-100.3167,25.6667
21.8405,46.4337
9,51
4.8833,48.8667
36,31
-60.6784,-32.9541
-121.4293,38.4884
-106.3523,42.826
-122.4619,39.6603
9.8427,53.5996
9.8522,51.8188
23.7333,52.7065
9,51
20.4681,44.8186
20,41
-122.7278,38.0051
-75.5636,6.2518
120.9667,14.5833
20.15,51.9667
-97,38
-123.0867,44.069
-97,43.1012
-46.6358,-23.5477
-46.6358,-23.5477
-95.367,29.752299999999998
-97,38
8.55,52.4768
23.7333,37.9833
-118.3109,34.0669
-4.5008,56.5304
-46.6358,-23.5477
5.9671,52.2333
-74.0628,4.6492
120.9667,14.5833
9,51
24.15,45.8
43.5,42
-74.0758,4.6492
-5,8
-74.0628,4.6492
23.3167,42.6833
-46.6361,-23.5475
-51.2,-30.0333
10,53.55
-122.7278,37.7848
-97,38
-97,41.9728
-74.9966,39.9068
9,51
12.8333,43.8573
-77.6344,37.312
-74.9439,39.9757
33.6292,37.9833
-0.13,51.5
-68.15,-16.5
35.25,32
-95.4737,29.752299999999998
9.0,51.0
-88.5065,44.3385
-90.7974,29.8028
-90.0738,29.9393
-93.2654,44.9843
-95.4771,30.0549
9.4333,51.8833
-73.1167,-36.8333
-71.9586,45.4113
26,59.4967
-82.3265,27.8661
9,51.8413
-58.3817,-34.6033
11.5759,48.1827
35.2544,32.2211
19.0833,47.5
-122.7278,37.8033
-49.25,-25.4167
-97.822,37.751
-49.25,-25.4167
-77.0177,42.3584
-46.6361,-23.5475
-47.8,-23.5477
-58.3816,-34.6033
-0.4568,51.9322
-46.6358,-23.5477
-49.25,-25.4167
-46.6361,-23.5475
9,51
-46.6358,-8.1167
-97.822,37.751
-46.6361,-23.9667
-74.006,40.7143
-97,38
-87.3148,39.4662
-46.6358,-23.5477
-93.9795,37.7848
-122.0214,37.3887
